,Name,Class,Subtype,D170,d30Si,d51V,e53Cr,e54Cr,D170_2se,d30Si_2se,d51V_2se,e53Cr_2se,e54Cr_2se
33,Acfer243,Carbonaceous Chondrites,CO3 ...,-4.260,NaN,NaN,NaN,NaN,0.07,NaN,NaN,NaN,NaN
34,Acfer272,Carbonaceous Chondrites,CV3 ...,-2.650,NaN,NaN,NaN,NaN,0.07,NaN,NaN,NaN,NaN
35,Adelaide,Carbonaceous Chondrites,C2-un ...,-3.620,NaN,NaN,NaN,NaN,0.07,NaN,NaN,NaN,NaN
36,AdhiKot,Enstatite Chondrites,EH4 ...,-0.050,NaN,NaN,NaN,NaN,0.07,NaN,NaN,NaN,NaN
37,AlRais,Carbonaceous Chondrites,CR2 ...,-1.010,NaN,NaN,NaN,NaN,0.07,NaN,NaN,NaN,NaN
38,Alais,Carbonaceous Chondrites,CI ...,0.39,NaN,NaN,NaN,NaN,0.07,NaN,NaN,NaN,NaN
39,Albareto,Ordinary Chondrites,LL4 ...,1.2,NaN,NaN,NaN,NaN,0.07,NaN,NaN,NaN,NaN
40,Allegan,Ordinary Chondrites,H5 ...,0.61,-0.455,NaN,0.15,NaN,0.07,0.068,NaN,0.06,NaN
41,Allende,Carbonaceous Chondrites,CV3 ...,-3.520,-0.520,-1.60,0.14,0.98,0.07,0.13,0.1,0.04,0.14
42,Allende12,Carbonaceous Chondrites,CV3 ...,NaN,NaN,-1.67,NaN,NaN,NaN,NaN,0.1,NaN,NaN
43,Allende3,Carbonaceous Chondrites,CV3 ...,NaN,NaN,-1.65,NaN,NaN,NaN,NaN,0.1,NaN,NaN
44,Allende4,Carbonaceous Chondrites,CV3 ...,NaN,NaN,-1.61,NaN,NaN,NaN,NaN,0.1,NaN,NaN
45,Allende5,Carbonaceous Chondrites,CV3 ...,NaN,NaN,-1.66,NaN,NaN,NaN,NaN,0.1,NaN,NaN
46,Allende6,Carbonaceous Chondrites,CV3 ...,NaN,NaN,-1.60,NaN,NaN,NaN,NaN,0.06,NaN,NaN
47,Allende7,Carbonaceous Chondrites,CV3 ...,NaN,NaN,-1.71,NaN,NaN,NaN,NaN,0.01,NaN,NaN
48,AllendeWR,Carbonaceous Chondrites,CV3 ...,NaN,NaN,NaN,0.04,0.86,NaN,NaN,NaN,0.06,0.09
49,AmbapurNagla,Ordinary Chondrites,H5 ...,0.75,NaN,NaN,NaN,NaN,0.07,NaN,NaN,NaN,NaN
50,AppleyBridge,Ordinary Chondrites,LL6 ...,1.295,NaN,NaN,NaN,NaN,0.07,NaN,NaN,NaN,NaN
51,Arch,Carbonaceous Chondrites,CV3 ...,-4.950,NaN,NaN,NaN,NaN,0.07,NaN,NaN,NaN,NaN
52,Archeanshale,Earth,Abitibi ...,NaN,NaN,NaN,-0.020,NaN,NaN,NaN,NaN,0.08,NaN
53,Atarra,Ordinary Chondrites,L4 ...,1.14,NaN,NaN,NaN,NaN,0.07,NaN,NaN,NaN,NaN
54,Atlanta,Enstatite Chondrites,EL6 ...,0.03,-0.560,NaN,NaN,NaN,0.07,0.13,NaN,NaN,NaN
55,Ausson,Ordinary Chondrites,L5 ...,1.14,NaN,NaN,NaN,NaN,0.07,NaN,NaN,NaN,NaN
56,Axtell,Carbonaceous Chondrites,CV3 ...,-3.350,NaN,NaN,NaN,NaN,0.07,NaN,NaN,NaN,NaN
57,B7904,Carbonaceous Chondrites,C2-un ...,-0.050,NaN,NaN,NaN,NaN,0.07,NaN,NaN,NaN,NaN
58,BCR-1,Earth,Basalt ...,NaN,-0.190,NaN,NaN,NaN,NaN,0.03,NaN,NaN,NaN
59,BHVO-1,Earth,None,NaN,NaN,NaN,0.01,0.08,NaN,NaN,NaN,0.05,0.13
60,BHVO-2,Earth,Basalt ...,NaN,-0.270,NaN,NaN,NaN,NaN,0.01,NaN,NaN,NaN
61,BHVO-2b,Earth,None,NaN,-0.262,NaN,NaN,NaN,NaN,0.053,NaN,NaN,NaN
62,BIR-1,Earth,None,NaN,-0.270,NaN,0.06,0,NaN,0.04,NaN,0.08,0.24
63,Bachmut,Ordinary Chondrites,L6 ...,1.16,NaN,NaN,NaN,NaN,0.07,NaN,NaN,NaN,NaN
64,Bali,Carbonaceous Chondrites,CV3 ...,-3.690,NaN,NaN,NaN,NaN,0.07,NaN,NaN,NaN,NaN
65,Banten,Carbonaceous Chondrites,CM2 ...,-2.970,NaN,NaN,NaN,NaN,0.07,NaN,NaN,NaN,NaN
66,Barratta,Ordinary Chondrites,L4 ...,NaN,NaN,NaN,0.29,-0.100,NaN,NaN,NaN,0.1,0.19
67,Barwell,Ordinary Chondrites,L6 ...,1.165,NaN,NaN,NaN,NaN,0.07,NaN,NaN,NaN,NaN
68,Bath,Ordinary Chondrites,H4 ...,0.71,NaN,NaN,NaN,NaN,0.07,NaN,NaN,NaN,NaN
69,Beardsley,Ordinary Chondrites,H5 ...,0.75,NaN,NaN,NaN,NaN,0.07,NaN,NaN,NaN,NaN
70,Beavercreek,Ordinary Chondrites,H4 ...,0.76,NaN,NaN,NaN,NaN,0.07,NaN,NaN,NaN,NaN
71,Bells,Carbonaceous Chondrites,C2-un ...,-1.860,NaN,NaN,NaN,NaN,0.07,NaN,NaN,NaN,NaN
72,Bencubbin,Carbonaceous Chondrites,CB ...,-2.270,NaN,NaN,0.055,1.13,0.07,NaN,NaN,0.06,0.09
73,Bereba,Vesta,Eucrite ...,NaN,-0.380,NaN,0.73,-0.740,NaN,0.04,NaN,0.07,0.11
74,Bjurbole,Ordinary Chondrites,L4 ...,1,NaN,NaN,0.2,NaN,0.07,NaN,NaN,0.06,NaN
75,Blithfield,Enstatite Chondrites,EL6 ...,0.07,-0.590,NaN,NaN,NaN,0.07,0.08,NaN,NaN,NaN
76,BoXian,Ordinary Chondrites,LL4 ...,1.15,NaN,NaN,NaN,NaN,0.07,NaN,NaN,NaN,NaN
77,Bori,Ordinary Chondrites,L6 ...,1.06,NaN,NaN,NaN,NaN,0.07,NaN,NaN,NaN,NaN
78,Borkut,Ordinary Chondrites,L5 ...,1.06,NaN,NaN,NaN,NaN,0.07,NaN,NaN,NaN,NaN
79,Bouvante,Vesta,Eucrite ...,NaN,-0.400,NaN,0.65,-0.780,NaN,0.02,NaN,0.12,0.06
80,Bremervörde,Ordinary Chondrites,H/L3 ...,NaN,NaN,NaN,0.36,0.36,NaN,NaN,NaN,0.1,0.19
81,Bruderheim,Ordinary Chondrites,L6 ...,NaN,NaN,NaN,0.3,-0.260,NaN,NaN,NaN,0.1,0.19
82,CabezodeMayo,Ordinary Chondrites,L6 ...,1.04,NaN,NaN,NaN,NaN,0.07,NaN,NaN,NaN,NaN
83,CapeGirardeau,Ordinary Chondrites,H6 ...,0.72,NaN,NaN,NaN,NaN,0.07,NaN,NaN,NaN,NaN
84,Chainpur,Ordinary Chondrites,LL3.4 ...,NaN,NaN,NaN,0.24,-0.470,NaN,NaN,NaN,0.06,0.07
85,Charsonville,Ordinary Chondrites,H6 ...,0.65,NaN,NaN,NaN,NaN,0.07,NaN,NaN,NaN,NaN
86,Chassigny,Mars,SNC ...,0.3,-0.470,NaN,0.17,-0.210,0.058,0.06,NaN,0.07,0.05
87,Chervettaz,Ordinary Chondrites,L5 ...,1.25,NaN,NaN,NaN,NaN,0.07,NaN,NaN,NaN,NaN
88,Cimarron,Carbonaceous Chondrites,CM2 ...,-2.910,NaN,NaN,NaN,NaN,0.07,NaN,NaN,NaN,NaN
89,ColdBokkeveld,Carbonaceous Chondrites,CM2 ...,-2.450,NaN,NaN,NaN,NaN,0.07,NaN,NaN,NaN,NaN
90,Coolidge,Carbonaceous Chondrites,C4-un ...,-4.500,NaN,NaN,NaN,NaN,0.07,NaN,NaN,NaN,NaN
